Lab Title ,Company,City,Country,Basic Research,Applied Research,Experimental Development,Sources
FAIR Montreal,Facebook,Montreal,Canada,1,,,"https://fortune.com/2017/09/15/facebook-artificial-intelligence-lab/
https://ai.facebook.com/blog/how-the-ai-community-can-get-serious-about-reproducibility/
https://ai.facebook.com/blog/new-code-completeness-checklist-and-reproducibility-updates/
https://www.cs.mcgill.ca/~jpineau/ReproducibilityChecklist.pdf
https://www.nature.com/articles/d41586-019-03895-5
https://www.wired.com/story/artificial-intelligence-confronts-reproducibility-crisis/
Email exchange with Uzma Saeed, AI Communications team at Facebook"
FAIR Paris,Facebook,Paris,France,1,,,"https://techcrunch.com/2015/06/02/facebook-opens-new-ai-research-center-in-paris/
https://newsroom.fb.com/news/2015/06/introducing-facebook-ai-research-paris/
https://ai.facebook.com/blog/using-ai-to-help-health-experts-address-the-covid-19-pandemic
https://www.washingtonpost.com/opinions/2020/04/20/how-data-can-aid-fight-against-covid-19/
Email exchange with Uzma Saeed, AI Communications team at Facebook"
Data.AI,Facebook,Tel Aviv,Israel,,,1,"https://www.calcalistech.com/ctech/articles/0,7340,L-3760927,00.html
https://www.businessinsider.com/facebook-google-microsoft-israel-rd-2016-10"
FAIR London,Facebook,London,United Kingdom,1,,,"https://www.thedrum.com/news/2019/06/13/facebook-creating-500-tech-jobs-london-combat-malicious-content
https://www.cnet.com/news/facebook-launches-ai-research-laboratory/"
FAIR Menlo Park,Facebook,Menlo Park,United States,1,,,"https://www.cnet.com/news/facebook-launches-ai-research-laboratory/
https://thenextweb.com/neural/2020/07/13/wake-up-sheeple-ai-shows-all-tourists-basically-take-the-same-picture/
https://www.digitaltrends.com/news/facebook-study-vacation-images/
https://www.engadget.com/facebook-ai-choreography-170023727.html
Email exchange with Uzma Saeed, AI Communications team at Facebook"
FAIR NYC,Facebook,New York City,United States,1,,,"https://www.cnet.com/news/facebook-launches-ai-research-laboratory/
https://techcrunch.com/2013/12/09/facebook-artificial-intelligence-lab-lecun/
https://ai.facebook.com/blog/using-ai-to-help-health-experts-address-the-covid-19-pandemic
https://www.washingtonpost.com/opinions/2020/04/20/how-data-can-aid-fight-against-covid-19/
Email exchange with Uzma Saeed, AI Communications team at Facebook"
FAIR Pittsburgh,Facebook,Pittsburgh,United States,1,,,"https://fortune.com/2018/07/17/facebook-artificial-intelligence-pittsburgh-london-seattle/
https://www.geekwire.com/2018/fair-competition-facebook-raises-status-ai-research-labs-seattle-pittsburgh/"
FAIR Seattle,Facebook,Seattle,United States,1,,,"https://www.geekwire.com/2018/fair-competition-facebook-raises-status-ai-research-labs-seattle-pittsburgh
https://www.geekwire.com/2018/facebook-appears-poised-put-new-ai-research-lab-seattle-escalating-talent-wars/
https://www.nytimes.com/2018/05/04/technology/facebook-artificial-intelligence-researchers.html
https://www.forbes.com/sites/samshead/2018/10/01/facebook-plans-to-double-size-of-ai-research-unit-by-2020/#2cba9c3e4c4f
https://about.fb.com/news/2018/07/facebook-ai-research-expands/
https://ai.facebook.com/blog/new-milestones-in-embodied-ai/"
Google Research Montreal,Google,Montreal,Canada,1,1,,https://techcrunch.com/2016/11/21/google-opens-new-ai-lab-and-invests-3-4m-in-montreal-based-ai-research/
Google Research Toronto,Google,Toronto,Canada,1,1,,https://techcrunch.com/2017/03/30/google-bets-on-ai-in-canada-with-google-brain-toronto-and-vector-institute-investment/
Google Research Beijing,Google,Beijing,China,1,1,1,"https://investorplace.com/2017/12/alphabet-googl-open-ai-research-lab-expand-china-ggsyn/
https://techcrunch.com/2017/12/12/google-opening-an-office-focused-on-artificial-intelligence-in-china/
https://futurism.com/google-opened-research-center-beijing 
https://www.blog.google/topics/google-asia/google-ai-china-center/"
Google Research Paris,Google,Paris,France,1,1,,"https://techcrunch.com/2018/01/22/google-is-launching-an-ai-research-center-in-france-and-expanding-its-office/
https://internetretailing.net/strategy-and-innovation/strategy-and-innovation/carrefour-and-google-to-open-paris-ai-and-machine-learning-hub-in-march-19069
https://phys.org/news/2018-01-google-ai-centre-paris.html"
Google Research Berlin,Google,Berlin,Germany,1,1,,"https://www.forbes.com/sites/samshead/2019/01/23/googles-new-berlin-office-home-to-ai-researchers/#7ed8230d5a72
https://sites.google.com/a/a-und-o.com/tachgoogle/pressemitteilung"
Google Research Munich,Google,Munich,Germany,1,1,,https://research.google/locations/munich/
Google AI Center Accra,Google,Accra,Ghana,1,1,,"https://amp.cnn.com/cnn/2019/04/14/africa/google-ai-center-accra-intl/index.html
https://www.technologyreview.com/s/613848/ai-africa-machine-learning-ibm-google/
https://africa.googleblog.com/2018/06/google-ai-in-ghana.html
https://www.blog.google/around-the-globe/google-africa/google-ai-ghana/"
Google Research India,Google,Bengaluru,India,1,1,1,"https://www.blog.google/around-the-globe/google-asia/google-research-india-ai-lab-Bengaluru/
https://twitter.com/sundarpichai/status/1174582872033943552?s=20"
